bkpm_sector,Subindustri,Sektor,Subsektor,Industri,match_quality,catatan
ENERGI,Distribusi Batu Bara,Energi,"Minyak, Gas & Batu Bara",Batu Bara,curated,
ENERGI,Produksi Batu Bara,Energi,"Minyak, Gas & Batu Bara",Batu Bara,curated,Overlap: juga di PERTAMBANGAN
ENERGI,Penyimpanan & Distribusi Minyak & Gas,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,curated,
ENERGI,Produksi & Penyulingan Minyak & Gas,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,curated,Overlap: juga di PERTAMBANGAN
ENERGI,"Jasa & Perlengkapan Minyak, Gas & Batu Bara",Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",curated,
ENERGI,Jasa Pengeboran Minyak & Gas,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",curated,
ENERGI,Peralatan Energi Alternatif,Energi,Energi Alternatif,Peralatan Energi Alternatif,curated,
ENERGI,Utilitas Gas,Infrastruktur,Utilitas,Utilitas Gas,curated,
ENERGI,Utilitas Listrik,Infrastruktur,Utilitas,Utilitas Listrik,curated,
KEUANGAN,Bank,Keuangan,Bank,Bank,curated,
KEUANGAN,Asuransi Jiwa,Keuangan,Asuransi,Asuransi,curated,
KEUANGAN,Asuransi Umum,Keuangan,Asuransi,Asuransi,curated,
KEUANGAN,Reasuransi,Keuangan,Asuransi,Asuransi,curated,
KEUANGAN,Bank Investasi & Perantara Perdagangan,Keuangan,Jasa Investasi,Jasa Investasi,curated,
KEUANGAN,Manajemen Investasi,Keuangan,Jasa Investasi,Jasa Investasi,curated,
KEUANGAN,Pembiayaan Konsumen,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,curated,
KEUANGAN,Perusahaan Holding Keuangan,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,curated,
KEUANGAN,Perusahaan Investasi,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,curated,
KONSTRUKSI,Konstruksi Bangunan,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,curated,
KONSTRUKSI,Material Konstruksi,Barang Baku,Barang Baku,Material Konstruksi,curated,
KONSTRUKSI,Mesin Konstruksi & Kendaraan Berat,Perindustrian,Barang Perindustrian,Mesin,curated,
KONSTRUKSI,Produk & Perlengkapan Bangunan,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,curated,
KONSTRUKSI,Pengembang & Operator Real Estat,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,curated,
KONSTRUKSI,Jasa Real Estat,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,curated,
PARIWISATA,Agen Perjalanan,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,curated,
PARIWISATA,Fasilitas Rekreasi & Olah Raga,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,curated,
PARIWISATA,"Hotel, Resor & Kapal Pesiar",Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,curated,
PARIWISATA,Rumah Makan,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,curated,
PARIWISATA,Hiburan & Film,Barang Konsumen Non-Primer,Media & Hiburan,Hiburan & Film,curated,
PENGANGKUTAN,Logistik & Pengantaran,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,curated,
PENGANGKUTAN,Maskapai Penerbangan,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,curated,
PENGANGKUTAN,Transportasi Jalanan,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,curated,
PENGANGKUTAN,Operator Bandar Udara,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,curated,
PENGANGKUTAN,Operator Jalan Tol & Rel,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,curated,
PENGANGKUTAN,Operator Pelabuhan,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,curated,Overlap: juga di PERIKANAN
PERDAGANGAN,Department Store,Barang Konsumen Non-Primer,Perdagangan Ritel,Department Store,curated,
PERDAGANGAN,Distributor Barang Konsumen,Barang Konsumen Non-Primer,Perdagangan Ritel,Distributor Barang Konsumen,curated,
PERDAGANGAN,Supermarket,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,curated,
PERDAGANGAN,Ritel & Distributor Makanan,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,curated,
PERDAGANGAN,Ritel & Distributor Obat-obatan,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,curated,
PERDAGANGAN,Ritel Barang Rumah Tangga,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,curated,
PERDAGANGAN,Ritel Elektronik,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,curated,
PERDAGANGAN,Ritel Otomotif,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,curated,
PERDAGANGAN,Ritel Pakaian & Tekstil,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,curated,
PERDAGANGAN,Perdagangan Aneka Barang Perindustrian,Perindustrian,Jasa Perindustrian,Perdagangan Aneka Barang Perindustrian,curated,
PERDAGANGAN,Penerbitan,Barang Konsumen Non-Primer,Media & Hiburan,Media,curated,
PERDAGANGAN,Penyiaran,Barang Konsumen Non-Primer,Media & Hiburan,Media,curated,
PERDAGANGAN,Penyiaran Berbayar,Barang Konsumen Non-Primer,Media & Hiburan,Media,curated,
PERDAGANGAN,Periklanan,Barang Konsumen Non-Primer,Media & Hiburan,Media,curated,
PERDAGANGAN,Peralatan Olah Raga & Barang Hobi,Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,curated,
PERIKANAN,"Ikan, Daging & Produk Unggas",Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,curated,Overlap: juga di PERTANIAN
PERIKANAN,Makanan Olahan,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,curated,Overlap: juga di PERINDUSTRIAN
PERIKANAN,Operator Pelabuhan,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,curated,Overlap: juga di PENGANGKUTAN
PERTAMBANGAN,Emas,Barang Baku,Barang Baku,Logam & Mineral,curated,
PERTAMBANGAN,Tembaga,Barang Baku,Barang Baku,Logam & Mineral,curated,
PERTAMBANGAN,Alumunium,Barang Baku,Barang Baku,Logam & Mineral,curated,
PERTAMBANGAN,Baja & Besi,Barang Baku,Barang Baku,Logam & Mineral,curated,
PERTAMBANGAN,Logam & Mineral Lainnya,Barang Baku,Barang Baku,Logam & Mineral,curated,
PERTAMBANGAN,Produksi Batu Bara,Energi,"Minyak, Gas & Batu Bara",Batu Bara,curated,Overlap: juga di ENERGI
PERTAMBANGAN,Produksi & Penyulingan Minyak & Gas,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,curated,Overlap: juga di ENERGI
PERTANIAN,Perkebunan & Tanaman Pangan,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,curated,
PERTANIAN,Barang Kimia Pertanian,Barang Baku,Barang Baku,Barang Kimia,curated,
PERTANIAN,Kayu,Barang Baku,Barang Baku,Perhutanan & Kertas,curated,
PERTANIAN,Kertas,Barang Baku,Barang Baku,Perhutanan & Kertas,curated,
PERTANIAN,Produk Hutan Lainnya,Barang Baku,Barang Baku,Perhutanan & Kertas,curated,
PERTANIAN,"Ikan, Daging & Produk Unggas",Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,curated,Overlap: juga di PERIKANAN
PERINDUSTRIAN,Barang Kimia Dasar,Barang Baku,Barang Baku,Barang Kimia,curated,
PERINDUSTRIAN,Barang Kimia Khusus,Barang Baku,Barang Baku,Barang Kimia,curated,
PERINDUSTRIAN,Wadah & Kemasan,Barang Baku,Barang Baku,Wadah & Kemasan,curated,
PERINDUSTRIAN,Barang Elektronik Konsumen,Barang Konsumen Non-Primer,Barang Rekreasi,Barang Elektronik Konsumen,curated,
PERINDUSTRIAN,Peralatan Rumah Tangga,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,curated,
PERINDUSTRIAN,Perlengkapan Rumah Tangga,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,curated,
PERINDUSTRIAN,Produsen Furnitur Rumah,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,curated,
PERINDUSTRIAN,Ban,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,curated,
PERINDUSTRIAN,Suku Cadang Otomotif,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,curated,
PERINDUSTRIAN,Alas Kaki,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,curated,
PERINDUSTRIAN,"Pakaian, Aksesoris, & Tas",Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,curated,
PERINDUSTRIAN,Tekstil,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,curated,
PERINDUSTRIAN,Makanan Olahan,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,curated,Overlap: juga di PERIKANAN
PERINDUSTRIAN,Produk Susu Olahan,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,curated,
PERINDUSTRIAN,Minuman Keras,Barang Konsumen Primer,Makanan & Minuman,Minuman,curated,
PERINDUSTRIAN,Minuman Ringan,Barang Konsumen Primer,Makanan & Minuman,Minuman,curated,
PERINDUSTRIAN,Rokok,Barang Konsumen Primer,Rokok,Rokok,curated,
PERINDUSTRIAN,Produk Perawatan Tubuh,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,curated,
PERINDUSTRIAN,Farmasi,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,curated,
PERINDUSTRIAN,Komponen & Peralatan Kelistrikan,Perindustrian,Barang Perindustrian,Kelistrikan,curated,
PERINDUSTRIAN,Mesin & Komponen Perindustrian,Perindustrian,Barang Perindustrian,Mesin,curated,
PERINDUSTRIAN,Peralatan Kantor,Perindustrian,Jasa Perindustrian,Jasa Komersial,curated,
PERINDUSTRIAN,Percetakan Komersial,Perindustrian,Jasa Perindustrian,Jasa Komersial,curated,
PERINDUSTRIAN,Penyedia & Distribusi Perlengkapan Kesehatan,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,curated,
PERINDUSTRIAN,Perangkat & Instrumen Elektronik,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",curated,
PERINDUSTRIAN,Perangkat Komputer,Teknologi,Perangkat Keras & Peralatan Teknologi,Perangkat Komputer,curated,
PERINDUSTRIAN,Perangkat Lunak,Teknologi,Perangkat Lunak & Jasa TI,Perangkat Lunak,curated,
PERINDUSTRIAN,Peralatan Jaringan,Teknologi,Perangkat Keras & Peralatan Teknologi,Peralatan Jaringan,curated,
PERINDUSTRIAN,Aplikasi & Jasa Internet,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,curated,
PERINDUSTRIAN,Jasa & Konsultan TI,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,curated,
PERINDUSTRIAN,Jasa Telekomunikasi Kabel,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,curated,
PERINDUSTRIAN,Jasa Telekomunikasi Nirkabel,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,curated,
PERINDUSTRIAN,Jasa Telekomunikasi Terintegrasi,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,curated,
PERINDUSTRIAN,Jasa Pendukung Bisnis,Perindustrian,Jasa Perindustrian,Jasa Komersial,curated,
PERINDUSTRIAN,Jasa Pengelolaan Lingkungan & Sarana,Perindustrian,Jasa Perindustrian,Jasa Komersial,curated,
PERINDUSTRIAN,Jasa Penelitian & Konsultasi,Perindustrian,Jasa Perindustrian,Jasa Profesional,curated,
PERINDUSTRIAN,Jasa Personalia,Perindustrian,Jasa Perindustrian,Jasa Profesional,curated,
PERINDUSTRIAN,Perusahaan Holding Multi-sektor,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,curated,
,Jasa Pendidikan,Barang Konsumen Non-Primer,Jasa Konsumen,Pendidikan & Jasa Penunjang,no_bkpm_sector,BKPM tidak punya sektor PENDIDIKAN
,Penyedia Jasa Kesehatan,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,no_bkpm_sector,BKPM tidak punya sektor KESEHATAN
