Subindustri,bkpm_sector,catatan
Distribusi Batu Bara,ENERGI,
Produksi Batu Bara,PERTAMBANGAN,Primary; alternatif ENERGI
Penyimpanan & Distribusi Minyak & Gas,ENERGI,
Produksi & Penyulingan Minyak & Gas,PERTAMBANGAN,Primary; alternatif ENERGI
"Jasa & Perlengkapan Minyak, Gas & Batu Bara",ENERGI,
Jasa Pengeboran Minyak & Gas,ENERGI,
Peralatan Energi Alternatif,ENERGI,
Utilitas Gas,ENERGI,
Utilitas Listrik,ENERGI,
Bank,KEUANGAN,
Asuransi Jiwa,KEUANGAN,
Asuransi Umum,KEUANGAN,
Reasuransi,KEUANGAN,
Bank Investasi & Perantara Perdagangan,KEUANGAN,
Manajemen Investasi,KEUANGAN,
Pembiayaan Konsumen,KEUANGAN,
Perusahaan Holding Keuangan,KEUANGAN,
Perusahaan Investasi,KEUANGAN,
Konstruksi Bangunan,KONSTRUKSI,
Material Konstruksi,KONSTRUKSI,
Mesin Konstruksi & Kendaraan Berat,KONSTRUKSI,
Produk & Perlengkapan Bangunan,KONSTRUKSI,
Pengembang & Operator Real Estat,KONSTRUKSI,
Jasa Real Estat,KONSTRUKSI,
Agen Perjalanan,PARIWISATA,
Fasilitas Rekreasi & Olah Raga,PARIWISATA,
"Hotel, Resor & Kapal Pesiar",PARIWISATA,
Rumah Makan,PARIWISATA,
Hiburan & Film,PARIWISATA,
Logistik & Pengantaran,PENGANGKUTAN,
Maskapai Penerbangan,PENGANGKUTAN,
Transportasi Jalanan,PENGANGKUTAN,
Operator Bandar Udara,PENGANGKUTAN,
Operator Jalan Tol & Rel,PENGANGKUTAN,
Operator Pelabuhan,PENGANGKUTAN,Primary; alternatif PERIKANAN
Department Store,PERDAGANGAN,
Distributor Barang Konsumen,PERDAGANGAN,
Supermarket,PERDAGANGAN,
Ritel & Distributor Makanan,PERDAGANGAN,
Ritel & Distributor Obat-obatan,PERDAGANGAN,
Ritel Barang Rumah Tangga,PERDAGANGAN,
Ritel Elektronik,PERDAGANGAN,
Ritel Otomotif,PERDAGANGAN,
Ritel Pakaian & Tekstil,PERDAGANGAN,
Perdagangan Aneka Barang Perindustrian,PERDAGANGAN,
Penerbitan,PERDAGANGAN,
Penyiaran,PERDAGANGAN,
Penyiaran Berbayar,PERDAGANGAN,
Periklanan,PERDAGANGAN,
Peralatan Olah Raga & Barang Hobi,PERDAGANGAN,
"Ikan, Daging & Produk Unggas",PERIKANAN,Primary; alternatif PERTANIAN
Makanan Olahan,PERINDUSTRIAN,Primary; alternatif PERIKANAN
Emas,PERTAMBANGAN,
Tembaga,PERTAMBANGAN,
Alumunium,PERTAMBANGAN,
Baja & Besi,PERTAMBANGAN,
Logam & Mineral Lainnya,PERTAMBANGAN,
Perkebunan & Tanaman Pangan,PERTANIAN,
Barang Kimia Pertanian,PERTANIAN,
Kayu,PERTANIAN,
Kertas,PERTANIAN,
Produk Hutan Lainnya,PERTANIAN,
Barang Kimia Dasar,PERINDUSTRIAN,
Barang Kimia Khusus,PERINDUSTRIAN,
Wadah & Kemasan,PERINDUSTRIAN,
Barang Elektronik Konsumen,PERINDUSTRIAN,
Peralatan Rumah Tangga,PERINDUSTRIAN,
Perlengkapan Rumah Tangga,PERINDUSTRIAN,
Produsen Furnitur Rumah,PERINDUSTRIAN,
Ban,PERINDUSTRIAN,
Suku Cadang Otomotif,PERINDUSTRIAN,
Alas Kaki,PERINDUSTRIAN,
"Pakaian, Aksesoris, & Tas",PERINDUSTRIAN,
Tekstil,PERINDUSTRIAN,
Produk Susu Olahan,PERINDUSTRIAN,
Minuman Keras,PERINDUSTRIAN,
Minuman Ringan,PERINDUSTRIAN,
Rokok,PERINDUSTRIAN,
Produk Perawatan Tubuh,PERINDUSTRIAN,
Farmasi,PERINDUSTRIAN,
Komponen & Peralatan Kelistrikan,PERINDUSTRIAN,
Mesin & Komponen Perindustrian,PERINDUSTRIAN,
Peralatan Kantor,PERINDUSTRIAN,
Percetakan Komersial,PERINDUSTRIAN,
Penyedia & Distribusi Perlengkapan Kesehatan,PERINDUSTRIAN,
Perangkat & Instrumen Elektronik,PERINDUSTRIAN,
Perangkat Komputer,PERINDUSTRIAN,
Perangkat Lunak,PERINDUSTRIAN,
Peralatan Jaringan,PERINDUSTRIAN,
Aplikasi & Jasa Internet,PERINDUSTRIAN,
Jasa & Konsultan TI,PERINDUSTRIAN,
Jasa Telekomunikasi Kabel,PERINDUSTRIAN,
Jasa Telekomunikasi Nirkabel,PERINDUSTRIAN,
Jasa Telekomunikasi Terintegrasi,PERINDUSTRIAN,
Jasa Pendukung Bisnis,PERINDUSTRIAN,
Jasa Pengelolaan Lingkungan & Sarana,PERINDUSTRIAN,
Jasa Penelitian & Konsultasi,PERINDUSTRIAN,
Jasa Personalia,PERINDUSTRIAN,
Perusahaan Holding Multi-sektor,PERINDUSTRIAN,
